"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"PYCR2",34,56,76,49,21,34,24,45,37,50,59,75,47,30,30,10,9,12,20
"CREB3L1",62,109,116,50,16,45,28,57,44,43,115,51,58,45,83,13,12,22,39
"RRAD",25,44,47,24,13,30,27,54,41,54,43,50,32,25,29,8,11,13,53
"PVRIG",58,79,109,49,20,60,35,62,62,63,60,78,65,50,38,13,13,21,32
"TGFBR2",80,101,118,50,26,69,48,66,69,80,32,88,160,110,60,41,45,69,73
"FZD1",61,77,100,48,31,85,41,54,42,48,102,114,43,32,29,19,15,22,56
"FUT4",25,47,45,29,12,29,26,40,32,24,17,37,41,27,25,8,7,11,17
"PRAME",24,54,46,30,14,29,25,40,32,27,20,38,37,28,22,6,4,10,19
"CCND1",40,87,78,146,37,46,32,148,104,187,144,158,153,106,107,39,41,57,55
"LAIR2",33,48,47,27,14,31,32,41,34,22,20,40,46,31,31,11,11,18,30
"APOC2",50,57,69,31,20,33,30,45,31,20,28,35,47,28,31,7,6,12,22
"ITGA4",26,46,51,41,16,46,31,38,31,27,22,43,37,32,37,15,12,21,19
"LRRC32",30,57,53,28,16,54,37,41,34,29,30,47,51,32,31,8,8,12,24
"OAZ1",165,247,381,166,72,202,133,231,161,255,252,273,281,173,159,88,94,158,166
"CD63",256,434,430,278,84,596,418,391,273,366,385,292,367,254,458,113,114,201,228
"AURKA",25,52,52,35,15,40,23,50,35,24,19,34,37,29,29,9,6,12,24
"MUC1",52,90,87,41,18,45,30,114,72,66,76,98,52,55,34,11,10,18,23
"SFRP2",271,242,332,83,21,42,36,63,41,212,42,193,265,147,56,29,22,46,438
"LILRA3",24,45,48,25,22,30,27,29,26,19,15,36,30,27,24,8,11,14,19
"LGALS9",32,42,63,31,14,52,35,50,50,32,17,39,46,36,40,11,12,30,32
"PVR",43,62,67,35,15,40,32,52,39,34,38,51,50,38,42,9,8,12,23
"PRUNE1",38,53,65,40,19,42,32,54,45,24,25,45,47,33,34,8,9,14,26
"INPP5D",38,59,67,28,16,48,38,55,45,30,23,46,60,41,34,20,20,33,34
"KRT19",359,668,1383,187,36,21,18,412,256,95,210,132,120,110,59,11,15,17,34
"MICA",31,65,61,46,25,58,39,63,43,50,47,69,56,40,39,13,10,22,39
"IL18RAP",29,54,53,31,15,46,34,48,42,24,19,44,50,33,34,7,6,13,27
"PLA2G3",25,47,48,24,14,32,29,41,39,23,19,43,38,27,30,7,5,11,27
"SOX17",25,43,48,26,12,29,24,44,38,22,22,48,39,28,28,6,6,9,20
"PLAUR",41,75,62,56,29,38,30,64,63,53,42,56,91,67,102,20,22,29,40
"PSMB9",32,62,90,36,15,71,46,72,54,41,26,57,56,56,36,27,27,49,40
"CACNB3",57,90,120,44,18,59,39,84,68,29,38,45,43,28,30,10,9,15,29
"ETS2",67,91,129,65,37,62,45,68,64,47,30,77,64,54,52,17,17,23,23
"SH2D1B",29,53,53,36,20,35,29,49,38,28,17,44,46,32,29,8,9,11,20
"IFNA2",28,54,34,24,14,21,18,30,22,17,21,28,24,22,27,7,5,11,24
"CCL27",20,37,40,18,15,27,19,35,32,20,16,37,41,24,20,8,6,8,18
"ID2",48,78,74,47,22,56,40,68,72,58,38,80,75,55,40,17,20,39,43
"MAGEC2",25,57,59,31,14,36,30,51,39,29,21,41,44,36,34,7,7,11,21
"MDM4",67,101,114,75,39,69,47,73,63,55,49,74,69,48,47,16,14,28,34
"IL2RG",34,44,56,25,16,52,36,49,35,26,18,39,50,36,29,15,13,41,35
"RPLP0",29,31,39,18,6,42,29,26,52,25,13,40,38,15,34,4,7,12,12
"LAMC3",20,42,43,21,10,32,23,39,28,22,12,33,37,21,22,5,7,7,14
"IL5",28,42,38,21,13,27,20,37,26,22,18,37,34,23,21,9,5,10,20
"CCR9",22,40,38,20,12,31,21,31,27,21,14,33,29,23,21,6,5,10,19
"PIM1",45,126,88,70,23,77,50,97,81,39,63,47,86,48,51,14,13,26,24
"TAL1",20,45,51,22,11,31,25,42,29,25,17,38,42,27,24,9,7,11,19
"NFATC1",41,79,92,35,17,43,31,57,43,30,23,45,47,36,31,12,9,17,32
"ACOT12",24,43,47,25,12,29,26,42,28,21,17,42,41,24,27,7,8,11,26
"CALML5",26,41,32,23,11,22,22,31,31,21,19,33,29,25,26,7,4,11,14
"FBP1",25,53,45,28,16,36,30,54,43,24,18,42,76,40,28,9,10,14,20
"CDC6",29,57,62,43,13,42,28,51,30,32,33,38,41,26,32,6,7,15,23
"JAG2",34,61,65,40,26,40,28,52,34,41,38,67,41,24,32,9,6,10,22
"SIRT4",31,50,56,31,15,39,28,48,39,26,20,45,42,26,26,9,5,14,24
"REPS1",45,72,97,46,22,54,42,63,53,52,40,67,52,33,31,12,15,21,29
"MYD88",37,69,82,48,18,51,37,48,41,35,25,52,64,42,37,11,8,23,28
"CDKN2B",41,92,58,23,9,29,22,40,26,20,19,36,39,31,23,10,11,12,21
"HLA-DQA1",52,57,82,32,14,74,68,57,35,44,29,60,118,93,29,22,30,59,65
"FGF18",43,78,108,50,19,31,27,84,67,29,28,39,41,36,27,8,7,9,20
"GZMK",23,42,40,25,8,43,39,46,35,23,18,38,35,29,26,14,12,37,20
"IRF1",26,47,52,27,11,54,39,47,32,25,18,37,37,36,25,6,10,15,22
"TAP2",35,66,70,40,16,61,48,67,47,45,39,64,60,58,40,19,18,41,34
"ATG7",47,71,94,75,27,47,41,66,55,53,37,72,70,48,43,16,18,27,40
"IL1RN",34,55,68,30,12,38,30,51,47,25,20,41,48,33,32,6,5,10,20
"MAP3K12",55,87,125,57,24,67,46,102,74,63,33,95,66,40,41,13,12,18,37
"SMO",60,83,92,48,18,54,34,53,46,30,31,47,49,30,29,10,6,12,23
"SPN",25,46,47,25,13,39,27,45,37,23,19,39,51,38,28,8,10,28,34
"MNX1",30,49,56,34,16,37,35,42,33,27,22,40,46,32,21,10,10,15,17
"FOXO4",25,47,46,24,12,30,22,37,37,22,20,34,37,25,24,8,5,10,16
"ISG15",38,78,48,20,13,30,27,46,86,32,32,38,23,44,27,11,11,14,12
"ALDOA",427,866,517,482,224,166,106,491,412,297,364,303,312,210,452,65,72,109,160
"ADH4",23,41,37,27,10,23,22,32,26,18,15,38,31,18,21,8,4,5,21
"PTGER4",35,58,68,32,15,46,34,50,45,29,28,50,60,38,29,16,14,23,28
"GATA2",25,46,42,38,14,35,30,41,34,32,24,49,38,29,28,10,8,13,32
"NDUFA12",52,86,102,51,18,69,47,78,71,72,56,86,75,59,53,24,22,33,45
"GRB7",31,46,70,30,15,28,21,49,40,24,19,39,32,25,25,8,6,13,18
"LILRA4",24,50,47,24,7,23,22,36,28,18,23,36,43,23,22,7,8,13,19
"ARID1B",65,99,113,85,41,58,41,64,58,58,55,80,55,43,47,11,14,23,30
"CD34",42,68,76,30,16,57,50,51,40,39,25,50,58,36,61,13,14,22,44
"CBLC",25,32,33,20,10,25,21,35,31,18,22,30,29,18,21,4,4,10,16
"LAMP3",23,46,42,26,12,27,20,39,36,25,16,32,27,26,21,7,7,15,18
"NTRK2",29,54,47,25,14,27,26,44,36,24,21,42,42,25,24,9,8,12,19
"CSF1R",86,88,108,47,38,71,76,61,42,57,47,88,110,78,85,46,49,85,56
"PRC1",59,94,114,62,23,60,54,76,63,58,50,79,73,49,51,16,14,25,36
"CX3CR1",27,41,57,25,12,30,25,34,28,24,17,28,36,28,23,16,17,22,32
"TMEM45B",25,53,54,25,15,32,20,43,40,23,19,40,37,29,23,8,7,9,19
"E2F5",30,50,49,28,12,36,25,48,33,23,23,38,30,22,23,7,5,10,20
"LTB",25,43,49,25,12,43,32,46,37,29,19,35,45,39,26,9,2,17,23
"BAX",56,93,103,56,25,75,48,86,56,104,101,114,82,64,70,24,19,43,46
"CACNB2",26,43,47,28,16,31,21,41,33,21,18,42,38,32,25,7,10,10,22
"DUOX1",30,50,53,38,17,33,25,39,29,25,24,36,38,28,21,8,6,9,17
"PLA1A",24,38,38,21,14,28,24,37,29,27,20,39,38,21,23,8,5,10,21
"GTF2H3",36,56,60,40,17,43,28,51,48,44,31,54,46,29,32,9,7,15,27
"CYP8B1",23,41,51,24,12,34,23,42,34,20,13,30,36,22,22,6,4,11,22
"CTSW",27,46,48,25,15,46,31,40,32,27,20,44,43,33,26,9,14,29,20
"CCL28",23,40,47,32,12,32,22,41,29,24,14,36,34,22,23,6,6,10,21
"INHBB",23,41,43,28,12,31,22,36,29,25,19,42,33,25,24,7,4,10,28
"MFGE8",45,100,88,43,19,56,44,54,42,47,80,69,175,125,76,34,30,44,62
"CD36",34,60,72,27,14,44,33,45,34,48,14,49,64,36,39,10,8,11,27
"CDC20",37,51,66,44,13,35,26,51,37,37,25,43,36,30,35,6,8,15,24
"CACNA2D4",25,44,42,26,13,32,26,47,34,20,22,37,39,24,30,5,9,12,22
